iter	Passed	Remaining
1584	52672	13791
1585	52707	13758
1586	52740	13725
1587	52774	13692
1588	52806	13658
1589	52840	13625
1590	52872	13591
1591	52905	13558
1592	52940	13525
1593	52972	13492
1594	53004	13458
1595	53036	13425
1596	53069	13392
1597	53102	13358
1598	53135	13325
1599	53169	13292
1600	53201	13258
1601	53235	13225
1602	53267	13192
1603	53301	13159
1604	53334	13125
1605	53367	13092
1606	53399	13059
1607	53431	13025
1608	53463	12992
1609	53495	12958
1610	53527	12924
1611	53559	12891
1612	53592	12858
1613	53624	12824
1614	53657	12791
1615	53691	12758
1616	53724	12725
1617	53756	12691
1618	53788	12657
1619	53821	12624
1620	53854	12591
1621	53886	12557
1622	53919	12524
1623	53951	12491
1624	53982	12457
1625	54013	12423
1626	54046	12390
1627	54078	12356
1628	54109	12323
1629	54141	12289
1630	54175	12256
1631	54207	12223
1632	54241	12190
1633	54273	12156
1634	54304	12123
1635	54337	12089
1636	54372	12056
1637	54406	12023
1638	54438	11990
1639	54470	11957
1640	54502	11923
1641	54534	11889
1642	54565	11856
1643	54598	11823
1644	54631	11789
1645	54664	11756
1646	54697	11723
1647	54729	11689
1648	54764	11656
1649	54796	11623
1650	54829	11590
1651	54860	11556
1652	54893	11523
1653	54925	11489
1654	54958	11456
1655	54990	11423
1656	55026	11390
1657	55060	11357
1658	55092	11323
1659	55124	11290
